Date,Pair_Score,ML_Convergence_Prob,Reg_Prediction,Sentiment_Score,Target
2022-12-19,1,0.5582330209010173,1.9067609654625508e-05,3.5,0
2022-12-20,1,0.45103794882898407,1.9067609654625508e-05,3.5,0
2022-12-21,1,0.6101274048233642,1.9067609654625508e-05,3.5,0
2022-12-22,1,0.5148302722859983,1.9067609654625508e-05,3.5,0
2022-12-23,1,0.5407889558197704,1.9067609654625508e-05,3.5,0
2022-12-27,1,0.7153110332298805,1.9067609654625508e-05,3.5,0
2022-12-28,1,0.564868526013177,1.9067609654625508e-05,3.5,0
2022-12-29,1,0.6073977809573177,1.9067609654625508e-05,3.5,0
2022-12-30,1,0.5976283838107969,1.9067609654625508e-05,3.5,0
2023-01-03,1,0.514625897151295,1.9067609654625508e-05,3.5,0
2023-01-04,1,0.48777798686575957,1.9067609654625508e-05,3.5,0
2023-01-05,1,0.8112536079729928,1.9067609654625508e-05,3.5,0
2023-01-06,1,0.48008699676948646,-6.591504779313434e-05,3.5,0
2023-01-09,1,0.5237619708924891,1.9067609654625508e-05,3.5,0
2023-01-10,1,0.749708235375548,1.9067609654625508e-05,3.5,0
2023-01-11,1,0.5419189494617004,-6.591504779313434e-05,3.5,0
2023-01-12,1,0.6959562220862299,1.9067609654625508e-05,3.5,0
2023-01-13,1,0.6296332949481003,1.8890534105730313e-05,3.5,0
2023-01-17,1,0.5842294266821222,-6.591504779313434e-05,3.5,0
2023-01-18,1,0.5763583006089349,1.9067609654625508e-05,3.5,0
2023-01-19,1,0.5258344802581211,1.9067609654625508e-05,3.5,0
2023-01-20,0,0.5762604452681956,1.9067609654625508e-05,3.5,0
2023-01-23,0,0.53781260409058,1.9067609654625508e-05,3.5,0
2023-01-24,0,0.48092380486591724,1.9067609654625508e-05,3.5,0
2023-01-25,0,0.5575439482359461,1.9067609654625508e-05,3.5,0
2023-01-26,1,0.7109174240627533,0.001063776551108854,3.5,1
2023-01-27,1,0.6609017512102661,0.00251617436501169,3.5,0
2023-01-30,1,0.4798083311663325,1.8890534105730313e-05,3.5,0
